,Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
40,"John9
LDN",(+1),258,138.2,0.67,60%,89.2,0.49,0.31,0.08,0.1,21%,16%,Mar-19,16,126,187,80,20,25
41,"Zehradieux
LDN",,17,121,0.47,53%,70,0.41,0.18,0.06,0,6%,,0/1,7,7,15,3,1,0
0,"H1ber
KOI",,201,277.2,1.28,75%,176.9,0.95,0.24,0.24,0.21,22%,25%,01-Apr,27,190,149,49,48,42
1,"keloqz
TH",,77,261.7,1.15,70%,163.7,0.9,0.12,0.16,0.17,30%,25%,02-Aug,25,69,60,9,12,13
2,"russ
GIA",,202,257.3,1.17,73%,163.9,0.87,0.25,0.18,0.12,34%,11%,Feb-19,28,175,149,51,37,25
3,"UNFAKE
TQ",,184,247.4,1.23,80%,168.9,0.86,0.34,0.09,0.05,27%,7%,Jan-15,25,158,128,62,17,10
4,"Fit1nho
GIA",,202,242.3,1.26,73%,156.7,0.84,0.17,0.16,0.13,23%,7%,Jan-14,28,170,135,35,33,26
5,"vo0kashu
RBLS",(+1),180,238.7,1.39,78%,157,0.81,0.24,0.09,0.07,25%,,0/16,33,145,104,43,16,12
6,"jannyXD
RBLS",,180,237.6,1.2,74%,152.8,0.87,0.16,0.17,0.15,27%,14%,01-Jul,28,157,131,28,31,27
7,"Wolfen
CASE",,200,235.9,1.14,78%,156.2,0.78,0.32,0.11,0.07,33%,24%,Apr-17,22,156,137,64,21,13
8,"Sacake
KOI",,201,235.4,1.14,77%,158,0.75,0.45,0.08,0.1,24%,18%,Apr-22,21,151,132,91,16,20
9,"musashi
RBLS",(+1),180,232.3,1.21,72%,150.1,0.82,0.34,0.14,0.14,29%,17%,01-Jun,23,147,121,62,26,26
10,"tsack
TQ",,184,229.4,1.34,79%,143.5,0.83,0.26,0.08,0.06,32%,23%,Jun-26,21,153,114,47,15,11
11,"Filu
UCAM",,201,228.3,1.03,67%,145,0.82,0.17,0.19,0.19,27%,19%,Mar-16,23,164,160,34,39,39
12,"MiniBoo
AG",,212,228,1.04,68%,145.9,0.79,0.13,0.25,0.19,29%,38%,Jun-16,27,167,160,28,53,41
13,"KPZET
MRS",,184,226.7,1.14,70%,144,0.79,0.21,0.16,0.1,39%,22%,May-23,21,145,127,38,29,19
14,"Ambi
CASE",,200,223.8,1.27,74%,145.6,0.8,0.19,0.22,0.15,24%,20%,Mar-15,22,159,125,37,44,30
15,"PoPiFresH
TH",(+1),205,218.1,1.01,67%,136.3,0.74,0.13,0.15,0.13,22%,,0/8,21,152,151,27,30,27
16,"Leare
TQ",,184,210.4,1.04,63%,130.2,0.74,0.13,0.17,0.2,28%,14%,Feb-14,20,137,132,23,31,37
17,"falltw
CASE",,200,206.1,1.21,73%,136.2,0.75,0.31,0.1,0.05,29%,14%,May-35,22,149,123,61,19,10
18,"mcnuggets
MRS",,184,203.3,0.94,71%,133.1,0.7,0.32,0.1,0.1,20%,20%,Apr-20,24,129,137,58,19,19
19,"Yurii
CASE",(+1),200,202.8,1.04,75%,129.4,0.72,0.28,0.09,0.1,20%,18%,Mar-17,22,143,138,55,17,19
